"Fleet.Number","Registration","Details","Product","Distance","Unit","Litres","MPG","Cost"
"1184","YD14VTP","Ford Connect T240LWB Van Van Small","Diesel",463033,"Miles",328.48,6408.28,525.568
"1185","YG14FUV","Ford Connect T230LWB van Van Small","Diesel",5208,"Miles",576.9,41.04,923.04
"1187","YG14WXL","Ford Connect T240LWB Van Van Small","Diesel",708,"Miles",113.71,28.31,181.936
"1193","YL63CCD","Peugeot Bipper Small Van","Diesel",7367,"Miles",841.46,39.8,1346.336
"1194","YB63URT","Peugeot Bipper Van Small","Diesel",2466,"Miles",157.64,71.12,252.224
"1195","YB63URU","Peugeot Bipper Van Small","Diesel",2754,"Miles",305.69,40.96,489.104
"1201","YA16FXG","Peugeot Partner Van Small","Diesel",4490,"Miles",480.54,42.48,768.864
"1202","YL16RZT","Peugeot Partner Van Small","Diesel",4178,"Miles",459.71,41.32,735.536
"1203","YL16RZU","Peugeot Partner Van Small","Diesel",9193,"Miles",830.27,50.34,1328.432
"1204","YL16RZV","Peugeot Partner Van Small","Diesel",2109,"Miles",272.99,35.12,436.784
"1206","YL16RZX","Peugeot Partner Van Small","Diesel",4871,"Miles",540.98,40.93,865.568
"1207","YL16ZFV","Peugeot Partner Van Small","Diesel",4949,"Miles",597.1,37.68,955.36
"1208","YL16ZFX","Peugeot Partner Van Small","Diesel",8201,"Miles",866.64,43.02,1386.624
"1209","YL16ZFW","Peugeot Partner Van Small","Diesel",4895,"Miles",621.27,35.82,994.032
"1210","YL16ZFY","Peugeot Partner Van Small","Diesel",6103,"Miles",675.28,41.09,1080.448
"1216","YF16MYG","Peugeot Partner Van Small","Diesel",5828,"Miles",624.34,42.44,998.944
"1217","YF16MYD","Peugeot Partner Van Small","Diesel",1716,"Miles",234.46,33.27,375.136
"1218","YF16MYB","Peugeot Partner Van Small","Diesel",4784,"Miles",504.47,43.11,807.152
"1219","YF16MYA","Peugeot Partner Van Small","Diesel",1987,"Miles",173.47,52.07,277.552
"1220","YF16MYH","Peugeot Partner Van Small","Diesel",7687,"Miles",790.02,44.23,1264.032
"1221","YF16ZYG","Peugeot Partner Van Small","Diesel",5950,"Miles",758.64,35.65,1213.824
"1222","YF16ZYK","Peugeot Partner Van Small","Diesel",5582,"Miles",620.26,40.91,992.416
"1223","YF16ZYH","Peugeot Partner Van Small","Diesel",598,"Miles",119.72,22.71,191.552
"1224","YF16ZYJ","Peugeot Partner Van Small","Diesel",5236,"Miles",506.39,47.01,810.224
"1225","YF16ZYO","Peugeot Partner Van Small","Diesel",5517,"Miles",598.94,41.88,958.304
"1226","YA16FXB","Peugeot Partner Van Small","Diesel",5726,"Miles",622.94,41.79,996.704
"1227","YA16FWY","Peugeot Partner Van Small","Diesel",4848,"Miles",475.49,46.35,760.784
"1228","YA16FWZ","Peugeot Partner Van Small","Diesel",5688,"Miles",598.55,43.2,957.68
"1229","YA16FXF","Peugeot Partner Van Small","Diesel",9464,"Miles",869.14,49.5,1390.624
"123","FP15SJU","Vauxhall  Corsa Small Van","Diesel",10000,"Miles",790.46,57.51,1264.736
"1230","YK16DED","Peugeot Partner Van Small","Diesel",2602,"Miles",267.96,44.14,428.736
"1233","YK16DEF","Peugeot Partner Van Small","Diesel",3228,"Miles",337.48,43.48,539.968
"1234","YK16DFS","Peugeot Partner Small Van","Diesel",1395,"Miles",160.64,39.48,257.024
"1235","YK16DET","Peugeot Partner Van Small","Diesel",3309,"Miles",512.19,29.37,819.504
"1236","YD16NBC","Peugeot Partner Van Small","Diesel",8333,"Miles",847.6,44.69,1356.16
"1242","YA19TMY","peugeot Partner Van Small","Diesel",8066,"Miles",821.89,44.62,1315.024
"1243","YA19TNE","Peugeot Partner Van Small","Diesel",2827,"Miles",341.46,37.64,546.336
"1244","YA19TMZ","Peugeot Partner Van Small","Diesel",4967,"Miles",545.21,41.42,872.336
"1359","YL66UWA","Volkswagen Tranporter 4 Motion Van Medium","Diesel",6432,"Miles",995.63,29.37,1593.008
"1360","YL66UVU","Volkswagen Tranporter 4 Motion Van Medium","Diesel",15181,"Miles",2489.77,27.72,3983.632
"1401","YG69JNZ","  Van Medium","Diesel",5852,"Miles",836.29,31.81,1338.064
"1402","YG69JNK","  Van Medium","Diesel",17061,"Miles",2426.81,31.96,3882.896
